PROJETO-ID,PROJETO
0,0101 - FCPC
1,0102 - FCPC/124.585-6
2,0104 - FCPC - 124.176-1 - ENCARGOS
3,1001 - FINEP/MAGNETISMO
4,1003 - FINEP/GESTAO DAS AGUAS(RECOPE)
5,1005 - FINEP/MANEJO INTEGRADO(RECOPE)
6,1010 - FINEP/CERAMICA(PADCT)
7,1011 - FINEP/GEOMETRIA DAS IMERSOES(PRONEX)
8,1014 - SRH/RECURSOS HIDRICOS
9,1015 - UFC/EDITORA
10,1016 - CARTA -  UFC/FCPC RADIO UNIVERSITARIA FM
11,1016 - CARTA - UFC/FCPC RADIO UNIVERSITARIA FM
12,1017 - CT - UFC/FCPC - PROJETO DE ORIENTAÇÃO FARMACEUTICA AOS USUARIOS DA FARMÁCIA UNIVERSITÁRIA DA FARMÁCIA-ESCOLA
13,1017 - CT. UFC/FCPC - PROJETO DE ORIENTAÇÃO FARMACEUTICA AOS USUARIOS DA FARMÁCIA UNIVERSITÁRIA DA FARMÁCIA-ESCOLA
14,1018 - FINEP/FITOTERAPICOS
15,1019 - CT - RNP/INTERNET
16,1020 - UFC/ODONTOLOGIA
17,1021 - CT/SAMEAC
18,1022 - CT -  CURSO DE ESP. EM INFORMATICA
19,1023 - CT - UFC/FCPC - CURSO DE BIOLOGIA MOLECULAR
20,1024 - BNB/MICROCREDITO
21,1026 - BNB/LIMOEIRO
22,1027 - BNB/IGUATU
23,1028 - BNB/CRATEUS
24,1029 - BNB/SOBRAL
25,1030 - BNB/JUAZEIRO DO NORTE
26,1031 - CT/FCPC-ESMALTEC
27,1033 - FCPC/JONHSON
28,1034 - CV - IJF-TRAUMA
29,1035 - CV -  EMBRAPA/PRODUTOS REGIONAIS-RENATA
30,1040 - EXAME PATERNIDADE
31,1047 - UFC/CERIMONIAL
32,1048 - LEMA - LAB. ESTATISTICA E MAT. APLICADA
33,1049 - SMDS/PRESTACAO DE SERVICOS
34,1050 - CARTA/FCPC/CASA AMARELA
35,1053 - CT - CURSO DE ESP. EM SAUDE DA FAMILIA
36,1055 - CT -  CURSO ENDODONTIA
37,1057 - CT -  CURSO ESP. TECN. DA INFORMACAO-ETI
38,1062 - CT -  CURSO DE ANALISES CLINICAS
39,1063 - CT -  CURSO DE MICROBIOLOGIA E PARASITOLOGIA
40,1067 - CEPOP/FCPC
41,1069 - CT -  CURSO DE REDES DE COMPUTADORES
42,1078 - CT - UFC/CASAS DE CULTURA
43,1080 - CT UFC/FCPC - VESTIBULAR-2000
44,1081 - FCPC/SAS/SINE PEQ/CE
45,1085 - CT - CURSO DE ESP.EM PROTESE DENTAL
46,1088 - CURSO LIA-EXTENSAO
47,1089 - RESCISAO CONTRATUAL
48,1090 - ANALISES DE ALIMENTOS
49,1103 - KEW/FCPC-141
50,1107 - CT - FCPC/POLYMAR-LIVRO QUITOSONA
51,1108 - CURSO DE ESP.EM INF.OBJETO DISTRIBUIDOS
52,1109 - CT - UFC/FCPC - EDIÇÕES UFC - PRESTAÇÃO DE SERVIÇOS
53,1109 - CT. UFC/FCPC - EDIÇÕES UFC - PRESTAÇÃO DE SERVIÇOS
54,1114 - CV/COELCE/UFC/FCPC-COOPERACAO TECNICA
55,1116 - CV - BN/PEDOCLIMATICO DO CAJUEIRO NA BA
56,1122 - CV - BN/UFC/ESTUDOS EM PLANTAS MEDICINAIS
57,1127 - CT - UFC/FCPC-CURSO ETI-2000
58,1128 - CT - UNESCO/FUNASA/MS-VIGISUS
59,1133 - CV - FUNCAP/FCPC-N.02/2000
60,1136 - CT - UNIFOR/FCPC/FARMACIAS VIVAS
61,1140 - CT - UFC/FCPC/CURSO ETIGI
62,1142 - CURSO INFORMATICA EDUCATIVA
63,1143 - CT UFC/FCPC - INVESTIGACAO LITERARIA
64,1144 - CT - UFC/FCPC/SERVICOS DE APOIO -LEI
65,1149 - CT - CURSO DE ESP.EM INFORMATIACA PIAUI
66,1152 - FCPC / UFC - FUNDACAO FORD
67,1156 - CV - CNPQ/PRONEX/GEOMETRIA DAS IMERSOES
68,1157 - CV - CNPQ/FCPC-PRONEX QI
69,1161 - CV - FINEP/PESQUISA EM C.MATEMATICAS
70,1163 - CT SEDUC/UFC/FCPC-MAGISTERIO/LIC.PLENA
71,1164 - CT FCPC / MT - PLANFOR
72,1166 - CARTA FCPC / GRACO 2001
73,1168 - CV - FUNCAP/03/2001
74,1170 - CV - PRODETAB/FCPC/EMBRAPA-001-02/99
75,1175 - CT - PETROBRAS/FCPC-OLEO  PESADO MODELAGEM
76,1176 - CT SEDUC/FCPC/MAGISTER PREFEITURAS
77,1179 - CT    FCPC/SAS/SINE    PEQ/CE   -   2001
78,1184 - CV - FCPC/PADCT III - QUIMICA
79,1185 - CT - UFC/FCPC-CURSO DE ESTUDOS LITERARIOS
80,1186 - ENEM/2001
81,1187 - CT - PREF.JUCA/FCPC-CURSO DE FORMACAO
82,1188 - CT - UFC/FCPC-VESTIBULAR 2002
83,1189 - CT - PREF.VICOSA/FARMACIA VIVA
84,1191 - CT - FCPC/PETROLEO E GAS 2
85,1193 - CV - FUNCAP 14/2001
86,1194 - CT 01/070-PNUD- FUB/FCPC-CURSO TV ESCOLA
87,1195 - CT - CURSO DE ESP.EM HEMATOLOGIA E HEMOTER
88,1196 - CT - IMPARH/FCPC/UFC-IMPRESSAO DE MATERIAL
89,1197 - CV - BN/FCPC/MINIFAZENDA MARINHA FASE 02
90,1198 - CT PREF.UMIRIM/FARMACIA VIVA
91,1199 - CT - FCPC/LABOMAR/PETROBRAS/MONITORAMENTO
92,1201 - CT/SSE/FCPC/LACEM/EXAME PATERNIDADE-2001
93,1203 - CV - FUNCAP/FCPC Nº24/2001
94,1205 - CT - FCPC/VESTIBULAR PIAUI/2001
95,1206 - CT -  OCEC / FCPC - CURSOS
96,1207 - CV - FINEP/PETROBRAS/FCPC-ANALISE DE TENSO
97,1208 - CV - FINEP/FCPC/INFRAUFC - 01
98,1211 - CV - PETROBRAS/FCPC/UFRJ-ANALISE DE TENSOES RESIDUAIS
99,1213 - CV UFC / FCPC - PROAP - 24 / 2000
100,1214 - CT - ASSEMA/FCPC/FARMACIA VIVAS-MA
101,1216 - CV - FUNCAP 33/2001
102,1217 - CT - IMPRENSA UNIVERSITAR
103,1218 - CV - FINEP-FCPC-INFRA 01/2001
104,1219 - CV - UFC/UFPI/FCPC-MESTRADO PIAUI
105,1220 - CT UFC/FCPC - AMPLIACAO POS-GRADUACAO
106,1222 - CV FCPC/UNITRABALHO - INCUBADORA
107,1223 - CT - UFC/FCPC/CURSO ETI - 2002
108,1224 - CV - FUNCAP. 04/2002
109,1225 - CV FINEP/FCPC - CTPETRO EMISSAO ACUSTICA
110,1226 - CV - FCPC-COELCE 6º TERMO ADITIVO
111,1227 - CV - FCPC-IMPARH/BIBLIOTECA VIRTUAL
112,1228 - CV - FCPC/COELCE/ 5. TERMO ADITIVO
113,1229 - CT - UFC/FCPC/CONCURSO PUBLICO
114,1230 - CV  COELCE/FCPC  -  7.  TERMO  ADITIVO -
115,1231 - CV - COELCE/FCPC/4. TERMO ADITIVO
116,1232 - CV - COELCE/FCPC- 3. TERMO ADITIVO
117,1233 - CV FCPC/FADE-UFPE- MATERIAIS BETUMINOSOS
118,1234 - CT - FCPC-FARMACIA VIVA PICOS
119,1235 - CT - UFC/FCPC/CURSO DE ANALISES CLINICA 2002
120,1236 - CT - UFC/FCPC-PISA
121,1237 - CV - PRODETAB/EMBRAPA/FCPC/054-01/01
122,1238 - DOACAO/FCPC/FARMACIA VIVA
123,1239 - CT - TPA/FCPC/LABOMAR/ILHAS DOS PREAS
124,1240 - CT - UFMA/FCPC/CONCURSO MARANHAO
125,1241 - CV - BN/FCPC/MC-RIO GRANDE DO NORTE
126,1242 - CT - SMS/FCPC/PRESTACAO DE SERVICOS
127,1243 - PETROBRAS/FCPC/PROJETO MARAMBAIA
128,1245 - CV - FCPC/INST.ATLANTICO COOPERACAO TECNIC
129,1246 - CV - PRODETAB/FCPC/EMBRAPA-018-01/04
130,1247 - CT UFC / FCPC - VESTIBULAR 2003
131,1249 - CV - BN/FCPC/EMBRAPA-CULTURAS DO SAPOTI IMPLANTACAO DE UNIDADES DEMONSTRATIVGAS IRRIGADAS DAS CULTURAS DE SAPOTI GRAVIOLA E ATA
132,1250 - CV BN/FCPC/EMBRAPA- CLONES DE UVAS
133,1252 - FCPC/SIMPOSIO -CONGRESSO SEMICONDUTORES
134,1253 - CT FUB / FCPC - TV ESCOLA - III
135,1255 - CV - FUNCAP/FCPC-Nº 11/2002
136,1256 - CV - FUNCAP/FCPC-30/2002
137,1257 - CV - FUNCAP/FCPC-N.18/2002
138,1260 - CV - FUNCAP/FCPC/Nº 35/2002
139,1261 - CV - FUNCAP/FCPC-N. 39/2002
140,1262 - CT - ROHM/EMBRAPA/FCPC-MELAO E ABACAXI
141,1264 - CV - PRODETAB/EMBRAPA/FCPC/014/01-01
142,1265 - CV - PRODETAB/EMBRAPA/FCPC-016-01/01
143,1266 - CT - UNIMED-SOBRAL/FCPC-BOLSISTAS
144,1267 - CT - UFC/FCPC-TAXA DE BANCADA
145,1268 - CV - INST.JOSE FROTA/FCPC-MESTRADO TRAUMA
